"","age","urban","college","cotPension","cuentaPropia","depto","directorio","dsi","estrato","formal","inac","ingtot","hoursWorkUsual","maxEducLevel","oficio","orden","salud","seguridadsocial","sex","microEmpresa","sizeFirm","y_salary_m","y_salary_m_hu","sub.alimentacion","sub.transporte","sub.familiar","sub.educativo","log_y_salary_h","log_y_salary_m"
"9435",56,1,0,1,0,11,4680240,0,3,1,0,8200000,40,7,1,5,1,1,1,0,5,5e+06,29166.666015625,2,2,2,2,10.2807817613562,15.4249484703984
"9436",53,1,0,2,0,11,4680241,0,3,0,0,560000,40,4,98,1,1,1,1,1,2,4e+05,2333.33325195312,2,2,2,2,7.75505310449211,12.8992198260901
"9437",49,1,0,2,0,11,4680241,0,3,0,0,4e+05,40,5,36,2,1,1,0,1,2,2e+05,1166.66662597656,2,2,2,2,7.06190592393216,12.2060726455302
"9438",31,1,1,2,0,11,4680242,0,2,0,0,4e+05,18,6,58,1,2,1,1,0,4,4e+05,5185.18505859375,2,2,2,2,8.55356081117305,12.8992198260901
"9439",58,1,0,2,0,11,4680244,0,3,0,0,520000,70,5,54,1,1,3,0,1,1,420000,1400,2,2,2,2,7.24422751560335,12.9480099902596
"9440",53,1,0,1,1,11,4680245,0,5,1,0,4200000,35,7,6,1,1,1,0,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9441",60,1,1,2,1,11,4680246,0,3,0,0,0,30,6,44,1,1,1,1,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9442",54,1,1,1,0,11,4680246,0,3,1,0,1083333.33333333,48,6,39,2,1,1,0,0,5,1e+06,4861.111328125,2,1,2,2,8.4890223590924,13.8155105579643
"9443",27,1,0,1,0,11,4680246,0,3,1,0,1592500,48,7,3,3,1,1,1,0,5,1470000,7145.83349609375,2,1,2,2,8.87428473801715,14.2007729587549
"9444",34,1,0,2,1,11,4680247,0,2,0,0,7e+05,84,5,45,1,2,1,1,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9445",33,1,0,2,1,11,4680247,0,2,0,0,5e+05,96,3,45,3,2,1,0,1,2,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9446",32,1,1,2,1,11,4680247,0,2,0,0,5e+05,96,6,45,4,2,1,1,1,2,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9447",38,1,0,2,0,11,4680249,0,2,0,0,930000,84,5,58,1,2,1,1,1,2,930000,2583.33325195312,2,2,2,2,7.85683580217726,13.7429398651294
