"","age","urban","college","cotPension","cuentaPropia","depto","directorio","dsi","estrato","formal","inac","ingtot","hoursWorkUsual","maxEducLevel","oficio","orden","salud","seguridadsocial","sex","microEmpresa","sizeFirm","y_salary_m","y_salary_m_hu","sub.alimentacion","sub.transporte","sub.familiar","sub.educativo","log_y_salary_h","log_y_salary_m"
"1352",61,1,0,1,0,11,4559811,0,3,1,0,1300000,48,7,39,2,1,1,1,0,4,1200000,5833.33349609375,2,2,2,2,8.67134389914528,13.9978321147582
"1353",30,1,1,1,0,11,4559814,0,3,1,0,1110666.66666667,48,6,59,2,1,1,1,0,4,860000,4180.5556640625,2,1,1,2,8.33819945067011,13.6646876682297
"1354",52,1,0,2,0,11,4559814,0,3,0,0,750000,96,5,45,1,1,3,0,1,2,750000,1822.91662597656,2,2,2,2,7.50819303911638,13.5278284855125
"1355",29,1,0,1,0,11,4559815,0,3,1,0,1400000,48,7,16,4,1,1,1,0,4,1300000,6319.4443359375,2,1,2,2,8.7513865617467,14.0778748224318
"1356",56,1,0,1,0,11,4559815,0,3,1,0,1841144.33333333,45,7,39,6,1,1,0,1,2,1100000,5703.70361328125,2,1,1,2,8.64887099953815,13.9108207377686
"1357",53,1,1,1,0,11,4559815,0,3,1,0,1291666.66666667,48,6,58,8,1,1,1,0,5,1200000,5833.33349609375,2,1,2,2,8.67134389914528,13.9978321147582
"1358",34,1,1,1,0,11,4559816,0,3,1,0,1108000,48,6,33,2,1,1,0,0,5,950000,4618.0556640625,2,1,1,2,8.43772904355823,13.7642172635767
"1359",39,1,0,1,0,11,4559816,0,3,1,0,3208333.33333333,91,7,58,1,1,1,1,0,5,3e+06,7692.3076171875,2,2,2,2,8.94797609774307,14.9141228466324
"1360",43,1,1,2,0,11,4559817,0,2,0,0,4e+05,48,6,98,1,1,3,0,1,2,2e+05,972.222229003906,2,2,2,2,6.87958440899089,12.2060726455302
"1361",22,1,1,2,0,11,4559818,0,2,0,0,860000,48,6,97,3,2,NA,1,1,2,7e+05,3402.77783203125,2,2,2,2,8.13234738645469,13.4588356140255
